2026-07-08 15:07:52,158 | INFO | Response of https://api.github.com/user/repos: 201
2026-07-08 15:07:52,161 | INFO | Execution time of test_create_repo is: 2.24 seconds
2026-07-08 15:07:52,163 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 15:07:52,621 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-08 15:07:52,624 | INFO | Execution time of test_read_repo is: 0.46 seconds
2026-07-08 15:07:52,783 | INFO | Execution time of test_update_repo is: 0.16 seconds
2026-07-08 15:07:52,784 | INFO | Request: DELETE https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 15:07:53,420 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 204
2026-07-08 15:07:53,424 | INFO | Execution time of test_delete_repo is: 0.64 seconds
2026-07-08 15:08:38,457 | INFO | Request: GET https://api.github.com/user 
2026-07-08 15:08:38,930 | INFO | Response of https://api.github.com/user: 200
2026-07-08 15:08:38,934 | INFO | Request: POST https://api.github.com/user/repos 
2026-07-08 15:08:41,026 | INFO | Response of https://api.github.com/user/repos: 201
2026-07-08 15:08:41,030 | INFO | Execution time of test_create_repo is: 2.10 seconds
2026-07-08 15:08:41,032 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 15:08:41,525 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-08 15:08:41,527 | INFO | Execution time of test_read_repo is: 0.50 seconds
2026-07-08 15:08:41,529 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 15:08:42,046 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 422
2026-07-08 15:08:42,203 | INFO | Execution time of test_update_repo is: 0.67 seconds
2026-07-08 15:08:42,205 | INFO | Request: DELETE https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 15:08:42,857 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 204
2026-07-08 15:08:42,860 | INFO | Execution time of test_delete_repo is: 0.66 seconds
2026-07-08 15:10:39,669 | INFO | Request: GET https://api.github.com/user 
2026-07-08 15:10:40,228 | INFO | Response of https://api.github.com/user: 200
2026-07-08 15:10:40,233 | INFO | Request: POST https://api.github.com/user/repos 
2026-07-08 15:10:42,469 | INFO | Response of https://api.github.com/user/repos: 201
2026-07-08 15:10:42,473 | INFO | Execution time of test_create_repo is: 2.24 seconds
